Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
Sudoku,4,3553,2.99,4+,Games,Strategy,15853568,2008
Reversi,3.5,284,1.99,4+,Games,Strategy,12328960,2008
Morocco,3,8376,0,4+,Games,Board,674816,2008
Sudoku (Free),3.5,190394,0,4+,Games,Strategy,21552128,2008
Senet Deluxe,3.5,28,2.99,4+,Games,Strategy,34689024,2008
Sudoku - Classic number puzzle,3,47,0,4+,Games,Entertainment,48672768,2008
Gravitation,2.5,35,0,4+,Games,Entertainment,6328320,2008
Colony,2.5,125,0.99,4+,Games,Strategy,64333824,2008
Carte,2.5,44,0,4+,Games,Strategy,2657280,2008
"""Barrels O' Fun""",2.5,184,0,4+,Games,Casual,1466515,2008
Quaddraxx,NA,NA,0,4+,Games,Entertainment,3089867,2008
Lumen Lite,3.5,5072,0,4+,Games,Puzzle,7086403,2008
BubblePop,3,526,0,4+,Games,Strategy,845008,2008
Marple,3.5,989,0.99,4+,Games,Puzzle,3643392,2008
Tetravex Lite,2.5,2358,0,4+,Games,Puzzle,731525,2008
Awele/Oware - Mancala HD,3,112,0,4+,Games,Strategy,122826752,2008
Awele/Oware - Mancala HD,3,112,0,4+,Games,Strategy,122826752,2008
Chess Game,3,504,0,4+,Games,Board,444163,2008
Catcha Mouse,3.5,95971,0,4+,Games,Puzzle,26820692,2009
"Cool Sudoku, Jigsaw, Killer",3.5,357,0,4+,Games,Strategy,52236288,2008
Mind the Corners,3,7,0.99,4+,Games,Strategy,1530880,2008
All You Can Eat,2,30,0.99,9+,Entertainment,Games,4341760,2008
Ane Rouge,NA,NA,0,4+,Games,Puzzle,1190912,2008
Neiscat,NA,NA,0.99,4+,Games,Board,8806400,2008
Boomshine,4,637,0.99,4+,Games,Puzzle,22873088,2008
Gaia Lite,3.5,1563,0,4+,Games,Strategy,6550985,2008
Fieldrunners,4,41869,2.99,9+,Games,Entertainment,75041792,2008
Lux Touch 3 - World Domination,3.5,72428,0,9+,Games,Entertainment,55071744,2008
"""Don't Square""",2.5,190,0.99,4+,Games,Board,4357120,2008
Smart Rummy,2.5,69,2.99,4+,Games,Strategy,44329984,2008
Expert Sudoku,4,523,2.99,4+,Games,Strategy,9543680,2008
Edgewise,3.5,23,0,4+,Games,Card,1298432,2008
Chess Genius,4,156,5.99,4+,Games,Strategy,1751040,2008
Chess - tChess Pro,4,3062,7.99,4+,Games,Board,7517184,2008
Toobz,3.5,2425,0.99,4+,Games,Strategy,9641984,2008
Color Sudoku,3.5,518,2.99,4+,Games,Puzzle,15837184,2008
Chess - tChess Lite,3.5,5488,0.99,4+,Games,Strategy,5874688,2008
Checkers Online Lite,2.5,3521,0,4+,Games,Strategy,9402423,2008
TapDefense,3.5,273687,0,9+,Games,Strategy,7774384,2008
Chinese Chess (Xiangqi),3,67,0.99,4+,Games,Strategy,12423168,2008
Warfare Incorporated,3.5,5931,0,9+,Games,Strategy,7705600,2008
Strategery,4,2798,1.99,4+,Games,Board,15547392,2008
5x5 Shogi (MiniShogi) K55,4,16,2.99,4+,Games,Board,3940352,2008
Deep Green Chess,4,483,7.99,4+,Games,Board,99019776,2008
Jewel Lines,3,75,2.99,4+,Games,Entertainment,5731328,2008
Lux DLX 3 - Map Conquest Game,4,5629,4.99,9+,Games,Strategy,93993984,2008
ChartFight SP,3,2482,0.99,4+,Games,Strategy,14894080,2008
Robo Logic,3.5,77,0.99,4+,Games,Puzzle,5044648,2008
RoboLogic Lite,3,1461,0,4+,Games,Strategy,2584622,2009
Kakinoki Shogi (Japanese Chess),4,75,4.99,4+,Games,Strategy,18432000,2009
Kings Corners Free,2.5,1741,0,4+,Games,Entertainment,2323719,2009
Flip Ninja,2.5,6,0,4+,Games,Strategy,1112393,2009
Gun Runner Wars,3,740,0.99,9+,Games,Finance,15541248,2009
Word Zapper,3,89,0.99,4+,Games,Strategy,16785408,2009
Antivirus,3,187,0,9+,Games,Entertainment,25563136,2009
Arcs,4,413,2.99,4+,Games,Puzzle,5106688,2009
Shogi Kifu,NA,NA,3.99,4+,Games,Strategy,29797376,2011
Shogi Kifu,NA,NA,3.99,4+,Games,Strategy,29797376,2011
Strategery Lite,3.5,9121,0,4+,Games,Entertainment,5421981,2009
Wedding Dash Deluxe,4.5,17056,0.99,4+,Games,Strategy,55803904,2009
Agency Wars Lite,2.5,17045,0,4+,Games,Entertainment,7543757,2009
